2025-11-08 00:00:37.255 [main] INFO  [] c.n.r.RateLimiterApplication - Starting RateLimiterApplication using Java 17.0.9 with PID 403313 (/mnt/data/workspace/design_pattern_lab/rate-limiter/build/classes/java/main started by nemisolv in /mnt/data/workspace/design_pattern_lab/rate-limiter)
2025-11-08 00:00:37.258 [main] INFO  [] c.n.r.RateLimiterApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-08 00:00:37.633 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-08 00:00:37.641 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-08 00:00:37.641 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2025-11-08 00:00:37.664 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/MINUTE_SCALE] - Initializing Spring embedded WebApplicationContext
2025-11-08 00:00:37.664 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 388 ms
2025-11-08 00:00:37.737 [main] INFO  [] c.n.r.config.RateLimitConfigLoader - Loaded 10 rate limiting rules from rate-limiter-config.yml
2025-11-08 00:00:37.900 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-11-08 00:00:37.905 [main] INFO  [] c.n.r.RateLimiterApplication - Started RateLimiterApplication in 0.858 seconds (process running for 0.983)
2025-11-08 00:01:04.271 [http-nio-8080-exec-1] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-11-08 00:01:04.271 [http-nio-8080-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-11-08 00:01:04.271 [http-nio-8080-exec-1] INFO  [] o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2025-11-08 01:41:12.193 [SpringApplicationShutdownHook] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-11-08 01:41:12.196 [tomcat-shutdown] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-11-08 12:32:52.682 [main] INFO  [] c.n.r.RateLimiterApplication - Starting RateLimiterApplication using Java 17.0.9 with PID 126270 (/mnt/data/workspace/design_pattern_lab/rate-limiter/build/classes/java/main started by nemisolv in /mnt/data/workspace/design_pattern_lab/rate-limiter)
2025-11-08 12:32:52.683 [main] INFO  [] c.n.r.RateLimiterApplication - No active profile set, falling back to 1 default profile: "default"
2025-11-08 12:32:53.104 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2025-11-08 12:32:53.111 [main] INFO  [] o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-11-08 12:32:53.111 [main] INFO  [] o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.48]
2025-11-08 12:32:53.129 [main] INFO  [] o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-11-08 12:32:53.129 [main] INFO  [] o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 428 ms
2025-11-08 12:32:53.197 [main] INFO  [] c.n.r.config.RateLimitConfigLoader - Loaded 10 rate limiting rules from rate-limiter-config.yml
2025-11-08 12:32:53.338 [main] INFO  [] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-11-08 12:32:53.343 [main] INFO  [] c.n.r.RateLimiterApplication - Started RateLimiterApplication in 0.883 seconds (process running for 1.121)
2025-11-08 12:32:56.632 [SpringApplicationShutdownHook] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-11-08 12:32:56.634 [tomcat-shutdown] INFO  [] o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-11-08 12:47:38.254 [Test worker] INFO  [] c.n.r.RateLimiterApplicationTests - Starting RateLimiterApplicationTests using Java 17.0.9 with PID 145682 (started by nemisolv in /mnt/data/workspace/design_pattern_lab/rate-limiter)
2025-11-08 12:47:38.255 [Test worker] INFO  [] c.n.r.RateLimiterApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-11-08 12:47:38.642 [Test worker] INFO  [] c.n.r.config.RateLimitConfigLoader - Loaded 10 rate limiting rules from rate-limiter-config.yml
2025-11-08 12:47:38.822 [Test worker] INFO  [] c.n.r.RateLimiterApplicationTests - Started RateLimiterApplicationTests in 0.717 seconds (process running for 1.201)
